Name,Shopping List,Packed,SKIPPED,Container,Category,Meal Plans,Day (from Meal Plans),Notes,In Car
Aluminet 10x6,,,checked,Cabin,Hot Weather,,,,0 checked out of 1
Aluminet 10x20,,,checked,Cabin,Hot Weather,,,,0 checked out of 1
Apple Sauce,,checked,checked,Snack Bin,,Essentials (Snacks),ALL,,0 checked out of 1
Bacon (pre-cooked),,,checked,Cooler,,"Egg Bites & Bacon & Toast,Bacon Breakfast Sandwiches/Burritos (Bacon/Sausage),Ethan (Breakfast),Bagel Sandwiches",ALL,,0 checked out of 1
Bonami,,,checked,Cooking Bin,Cleaning,,,,0 checked out of 1
Bugs - Citronella candles,,,checked,Safety Bin,Bugs,,,,0 checked out of 1
Cable - Extension Cord (>25ft),,,checked,Powered Bin,120v Power,,,,0 checked out of 1
Charger - Dewalt Batteries,,,checked,Powered Bin,120v Power,,,,0 checked out of 1
Chicken Breast,,,checked,Cooler,,Burgers & Grilled Veggies,Sunday,,0 checked out of 1
Cocktail Shaker,,,checked,Cooking Bin,Cooking,,,,0 checked out of 1
Coffee - Cold Brew,,,checked,Cooler,,Essentials (Breakfast),ALL,,0 checked out of 1
Coffee Instant,,,checked,Food Bin,,Essentials (Breakfast),ALL,,0 checked out of 1
Cookies (homemade),,,checked,Snack Bin,,Essentials (Snacks),ALL,,0 checked out of 1
Corn (frozen),,,checked,Cooler,,"Hot Dogs & Chili,Burgers & Grilled Veggies,Ethan","Sunday,ALL",,0 checked out of 1
Cots,,,checked,Cabin,Sleep,,,,0 checked out of 1
Crystal Light lemonade,,,checked,Snack Bin,,Essentials (Snacks),ALL,,0 checked out of 1
Drill,,,checked,Setup Bin,Setup,,,,0 checked out of 1
Drill - For Ground Screw Stakes,,,checked,Setup Bin,Setup,,,,0 checked out of 1
Emergency space blanket,,,checked,Safety Bin,Safety,,,,0 checked out of 1
Fan - pink & blue misting ,,,checked,Powered Bin,Hot Weather,,,,0 checked out of 1
Fan (Dewalt) Batteries Only,,,checked,Powered Bin,Hot Weather,,,,0 checked out of 1
Fan (Dewalt) w/o Batteries,,,checked,Powered Bin,Hot Weather,,,,0 checked out of 1
Fan Personal Lanyard Fans,,,checked,Powered Bin,Hot Weather,,,,0 checked out of 1
Fruit (Seasonal),,,checked,Cooler,,Fruit,ALL,,0 checked out of 1
GF Tortillias,,,checked,Cooler,,"Tacos,Bacon Breakfast Sandwiches/Burritos (Bacon/Sausage),Sausage Breakfast Sandwiches",Monday,,0 checked out of 1
Goat Cheese,,,checked,Cooler,,"Bagels w/Salmon,Steak & Salad,Bagel Sandwiches",Sunday,,0 checked out of 1
Grill brush,,,checked,Cooking Bin,,,,,0 checked out of 1
Half-Half,,,checked,Cooler,,Essentials (Breakfast),ALL,,0 checked out of 1
Hammer,,,checked,Setup Bin,Setup,,,,0 checked out of 1
Inhaler,,,checked,Safety Bin,Safety,,,,0 checked out of 1
Kleenex,,,checked,Safety Bin,Hygine,,,,0 checked out of 1
Laundry Detergent (Ethan's Clothes),,,checked,Safety Bin,Cleaning,,,,0 checked out of 1
